ACSM4	NA	0	1743	0
ACSM5	NA	2	2419	0.0385827
ACSM6	NA	1	1713	0.0272421
ACSS1	NA	0	4020	0
ACSS2	NA	757	3193	11.0636
ACSS3	NA	0	3033	0
ACTA1	NA	6	1492	0.187664
ACTA2	NA	2435	1851	61.3891
ACTA2-AS1	NA	1032	2043	23.5727
ACTB	NA	151223	1812	3894.56
ACTBL2	NA	0	2794	0
ACTC1	NA	87	3693	1.09936
ACTG1	NA	128726	2105	2853.73
ACTG1P17	NA	23	1652	0.649705
ACTG1P20	NA	384	2652	6.75704
ACTG1P4	NA	22	1983	0.517724
ACTG2	NA	7	1331	0.245425
ACTL10	NA	8	2028	0.184086
ACTL6A	NA	797	1946	19.1124
ACTL6B	NA	0	1531	0
ACTL7A	NA	0	1528	0
ACTL7B	NA	0	1407	0
ACTL8	NA	6	1861	0.150454
ACTL9	NA	0	1434	0
ACTN1	NA	15399	3791	189.556
ACTN1-AS1	NA	0	599	0
ACTN2	NA	127	5110	1.1598
ACTN3	NA	785	3331	10.9975
ACTN4	NA	14028	3954	165.561
ACTR10	NA	926	2441	17.7028
ACTR1A	NA	4435	2873	72.0372
ACTR1B	NA	1641	2258	33.9143
ACTR2	NA	4316	3937	51.1581
ACTR3	NA	4466	5881	35.4378
ACTR3B	NA	533	2217	11.2192
ACTR3BP2	NA	0	1338	0
ACTR3BP5	NA	7	1645	0.198578
ACTR3C	NA	360	1420	11.8308
ACTR5	NA	284	2479	5.34614
ACTR6	NA	241	2619	4.29418
ACTR8	NA	929	3628	11.9494
ACTRT1	NA	0	1442	0
ACTRT2	NA	0	1422	0
ACTRT3	NA	80	2003	1.86384
ACVR1	NA	441	3112	6.61299
ACVR1B	NA	563	4807	5.46554
ACVR1C	NA	0	9077	0
ACVR2A	NA	107	5443	0.917369
ACVR2B	NA	434	11373	1.78079
ACVR2B-AS1	NA	35	2517	0.648909
ACVRL1	NA	18	4404	0.190732
ACY1	NA	229	1678	6.36857
ACY3	NA	0	1300	0
ACYP1	NA	213	976	10.1842
