ACTG1	NA	127503	2105	3014.31
ACTG1P17	NA	9	1652	0.271114
ACTG1P20	NA	447	2652	8.38791
ACTG1P4	NA	29	1983	0.727771
ACTG2	NA	4	1331	0.149555
ACTL10	NA	3	2028	0.0736161
ACTL6A	NA	618	1946	15.8039
ACTL6B	NA	0	1531	0
ACTL7A	NA	0	1528	0
ACTL7B	NA	0	1407	0
ACTL8	NA	4	1861	0.106963
ACTL9	NA	0	1434	0
ACTN1	NA	16704	3791	219.274
ACTN1-AS1	NA	1	599	0.0830793
ACTN2	NA	147	5110	1.43158
ACTN3	NA	520	3331	7.7687
ACTN4	NA	13847	3954	174.276
ACTR10	NA	966	2441	19.6938
ACTR1A	NA	4048	2873	70.1172
ACTR1B	NA	1712	2258	37.7311
ACTR2	NA	5841	3937	73.8314
ACTR3	NA	5080	5881	42.9865
ACTR3B	NA	430	2217	9.65211
ACTR3BP2	NA	0	1338	0
ACTR3BP5	NA	3	1645	0.0907559
ACTR3C	NA	263	1420	9.21695
ACTR5	NA	256	2479	5.13905
ACTR6	NA	244	2619	4.63633
ACTR8	NA	824	3628	11.3026
ACTRT1	NA	0	1442	0
ACTRT2	NA	0	1422	0
ACTRT3	NA	83	2003	2.06213
ACVR1	NA	382	3112	6.10862
ACVR1B	NA	586	4807	6.06657
ACVR1C	NA	1	9077	0.00548248
ACVR2A	NA	92	5443	0.841142
ACVR2B	NA	443	11373	1.93842
ACVR2B-AS1	NA	18	2517	0.355884
ACVRL1	NA	60	4404	0.67799
ACY1	NA	257	1678	7.62186
ACY3	NA	0	1300	0
ACYP1	NA	157	976	8.00515
ACYP2	NA	120	1222	4.88686
ADA	NA	349	1532	11.3367
ADAD1	NA	0	2255	0
ADAD2	NA	0	2304	0
ADAL	NA	0	4942	0
ADAM10	NA	2338	5034	23.1127
ADAM11	NA	309	4402	3.49324
ADAM12	NA	8	8937	0.0445469
ADAM15	NA	1513	3424	21.99
ADAM17	NA	678	3553	9.49629
ADAM18	NA	0	3268	0
ADAM19	NA	768	6529	5.85375
ADAM1A	NA	74	2840	1.29668
ADAM2	NA	0	2671	0
ADAM20	NA	1	2792	0.017824
ADAM20P1	NA	8	3036	0.131132
ADAM21	NA	11	2664	0.205484
ADAM21P1	NA	1	2049	0.0242872
ADAM22	NA	243	9510	1.27158
ADAM23	NA	461	6225	3.68537
ADAM28	NA	1	7648	0.00650686
ADAM29	NA	1	3440	0.0144664
ADAM30	NA	0	2992	0
ADAM32	NA	5	2727	0.091244
ADAM33	NA	3	3559	0.0419482
ADAM3A	NA	0	2768	0
ADAM5	NA	0	1705	0
ADAM6	NA	0	1843	0
ADAM7	NA	0	3396	0
ADAM8	NA	104	3301	1.56786
ADAM9	NA	2709	4098	32.897
ADAMDEC1	NA	1	2438	0.020412
ADAMTS1	NA	2088	4651	22.3411
ADAMTS10	NA	194	4364	2.21226
ADAMTS12	NA	3	4954	0.0301359
ADAMTS13	NA	319	5257	3.01976
ADAMTS14	NA	110	5267	1.03932
ADAMTS15	NA	1	5676	0.00876753
ADAMTS16	NA	0	4974	0
ADAMTS17	NA	11	6331	0.0864649
ADAMTS18	NA	3	5913	0.0252483
ADAMTS19	NA	2	5089	0.0195577
ADAMTS19-AS1	NA	0	786	0
ADAMTS2	NA	6	7070	0.042233
ADAMTS20	NA	0	5733	0
ADAMTS3	NA	128	5822	1.0941
ADAMTS4	NA	11	4332	0.126364
ADAMTS5	NA	19	9663	0.0978501
ADAMTS6	NA	180	7268	1.23247
ADAMTS7	NA	655	5490	5.93729
ADAMTS7P1	NA	92	9966	0.459395
ADAMTS8	NA	4	3663	0.0543429
ADAMTS9	NA	1	7312	0.00680587
ADAMTS9-AS1	NA	0	3930	0
ADAMTS9-AS2	NA	0	2228	0
ADAMTSL1	NA	1	7996	0.00622367
ADAMTSL2	NA	0	4133	0
ADAMTSL3	NA	30	7352	0.203065
ADAMTSL4	NA	3530	4422	39.7261
ADAMTSL4-AS1	NA	32	1036	1.53713
ADAMTSL5	NA	533	2857	9.28403
ADAP1	NA	140	2789	2.49804
ADAP2	NA	57	2749	1.03186
ADAR	NA	5008	7092	35.1411
ADARB1	NA	2010	7145	13.9995
ADARB2	NA	1	8426	0.00590606
ADARB2-AS1	NA	0	644	0
ADAT1	NA	123	3603	1.69887
ADAT2	NA	385	7493	2.55696
ADAT3	NA	323	1626	9.88557
ADCK1	NA	326	2234	7.26196
ADCK2	NA	446	2364	9.38873
ADCK3	NA	484	2924	8.23735
ADCK4	NA	360	2497	7.1747
ADCK5	NA	193	1988	4.83126
ADCY1	NA	19	12931	0.0731208
ADCY10	NA	12	5469	0.109193
ADCY10P1	NA	23	4569	0.250511
ADCY2	NA	0	6553	0
ADCY3	NA	1131	4396	12.8034
ADCY4	NA	19	3720	0.254173
ADCY5	NA	25	6257	0.198835
ADCY6	NA	1301	6102	10.6102
ADCY7	NA	239	6264	1.89874
ADCY8	NA	2	4101	0.0242694
ADCY9	NA	385	7727	2.47953
ADCYAP1	NA	1	3377	0.0147363
ADCYAP1R1	NA	1	6575	0.00756874
ADD1	NA	4199	5017	41.6506
ADD2	NA	73	5943	0.611275
ADD3	NA	1572	4628	16.9036
ADD3-AS1	NA	23	1280	0.894206
ADGB	NA	1	5289	0.00940906
ADGRA1	NA	0	4277	0
ADGRA1-AS1	NA	0	470	0
ADGRA2	NA	1381	6034	11.3896
ADGRA3	NA	766	4567	8.34675
ADGRB1	NA	89	5528	0.801201
ADGRB2	NA	1822	5440	16.6674
ADGRB3	NA	1	5637	0.00882819
ADGRD1	NA	129	5384	1.19235
ADGRE1	NA	3	3244	0.0460214
ADGRE2	NA	91	6467	0.700258
ADGRE3	NA	1	2423	0.0205384
ADGRE4P	NA	37	2732	0.67397
ADGRE5	NA	1425	3492	20.3077
ADGRF1	NA	0	6080	0
ADGRF2	NA	0	5126	0
ADGRF3	NA	38	5399	0.350259
ADGRF4	NA	5	3162	0.0786915
ADGRF5	NA	0	6022	0
ADGRG1	NA	291	5018	2.8859
ADGRG2	NA	10	4853	0.102544
ADGRG3	NA	4	2670	0.0745535
ADGRG4	NA	0	9931	0
ADGRG5	NA	5	4028	0.0617732
ADGRG6	NA	1118	6961	7.99263
ADGRG7	NA	11	3281	0.166842
ADGRL1	NA	3128	7857	19.8121
ADGRL2	NA	3	6208	0.0240486
ADGRL3	NA	2	6125	0.0162496
ADGRL3-AS1	NA	0	467	0
ADGRL4	NA	0	3619	0
ADGRV1	NA	5	19333	0.0128703
ADH1A	NA	1	1500	0.0331763
ADH1B	NA	0	2814	0
ADH1C	NA	0	1758	0
ADH4	NA	0	2152	0
ADH5	NA	3805	2651	71.4273
ADH6	NA	5	3006	0.0827753
ADH7	NA	0	2397	0
ADHFE1	NA	98	1895	2.57357
ADI1	NA	1798	4616	19.384
ADIG	NA	0	772	0
ADIPOQ	NA	1	4629	0.0107506
ADIPOQ-AS1	NA	0	3442	0
ADIPOR1	NA	1575	2423	32.3479
ADIPOR2	NA	1969	3965	24.7128
ADIRF	NA	32	672	2.36974
ADK	NA	827	2439	16.8738
ADM	NA	1906	1590	59.6548
ADM2	NA	4	4273	0.0465851
ADM5	NA	60	2112	1.41376
ADNP	NA	2211	6517	16.8834
ADNP-AS1	NA	16	1031	0.772291
ADNP2	NA	1218	5387	11.2517
ADO	NA	691	3724	9.23396
ADORA1	NA	291	2919	4.96111
ADORA2A	NA	43	2957	0.723664
ADORA2A-AS1	NA	11	3761	0.145549
ADORA2B	NA	466	1885	12.3025
ADORA3	NA	0	2309	0
ADPGK	NA	1265	2775	22.6854
ADPGK-AS1	NA	25	2730	0.455719
ADPRH	NA	0	3682	0
ADPRHL1	NA	39	2178	0.8911
ADPRHL2	NA	964	1691	28.3696
ADPRM	NA	114	1518	3.73725
ADRA1A	NA	0	3560	0
ADRA1B	NA	798	2254	17.6185
ADRA1D	NA	13	2666	0.242663
ADRA2A	NA	2	3873	0.0256982
ADRA2B	NA	7	3362	0.103614
ADRA2C	NA	203	1958	5.15944
ADRB1	NA	35	2862	0.60858
ADRB2	NA	0	2042	0
ADRB3	NA	1	2646	0.0188074
ADRBK1	NA	729	3444	10.5338
ADRBK2	NA	662	9055	3.63822
ADRM1	NA	3314	1480	111.432
ADSL	NA	1458	1563	46.4214
ADSS	NA	1047	2782	18.7288
ADSSL1	NA	100	2078	2.39483
ADTRP	NA	1003	1858	26.8643
AEBP1	NA	12	4086	0.146151
AEBP2	NA	716	5807	6.13594
AEN	NA	3869	3116	61.7904
AES	NA	6929	1943	177.467
AFAP1	NA	610	7770	3.90687
AFAP1-AS1	NA	51	6794	0.373563
AFAP1L1	NA	16	4212	0.189039
AFAP1L2	NA	9	4157	0.107741
AFF1	NA	486	9709	2.49104
AFF2	NA	3	13887	0.0107506
AFF3	NA	30	8212	0.181799
AFF4	NA	2566	9580	13.3294
AFG3L1P	NA	420	3903	5.35513
AFG3L2	NA	3558	3209	55.1767
AFM	NA	0	1997	0
AFMID	NA	215	2160	4.95341
AFP	NA	0	2039	0
AFTPH	NA	443	4123	5.347
AGA	NA	242	2102	5.72931
AGAP1	NA	896	11367	3.92267
AGAP1-IT1	NA	10	664	0.749465
AGAP11	NA	156	3155	2.46062
AGAP2	NA	256	6088	2.09259
AGAP2-AS1	NA	72	1531	2.34033
AGAP3	NA	1729	5606	15.3483
AGAP4	NA	729	2898	12.5184
AGAP5	NA	430	2426	8.82058
AGAP6	NA	750	2772	13.4644
AGAP7P	NA	659	2407	13.6248
AGAP9	NA	439	2387	9.15233
AGBL1	NA	1	3493	0.0142469
AGBL1-AS1	NA	0	904	0
AGBL2	NA	6	3593	0.0831024
AGBL3	NA	11	3533	0.154942
AGBL4	NA	0	2988	0
AGBL4-IT1	NA	0	514	0
AGBL5	NA	3099	3415	45.1596
AGBL5-AS1	NA	4	407	0.489086
AGER	NA	279	12824	1.08268
AGFG1	NA	1646	8738	9.37427
AGFG2	NA	776	4811	8.02687
AGGF1	NA	459	4508	5.06697
AGK	NA	581	2925	9.88484
AGL	NA	487	8217	2.94941
AGMAT	NA	19	3154	0.299786
AGMO	NA	0	2475	0
AGO1	NA	669	7478	4.45205
AGO2	NA	427	3500	6.07127
AGO3	NA	198	3645	2.70326
AGO4	NA	549	7060	3.86979
AGPAT1	NA	2713	16442	8.21135
AGPAT2	NA	1159	1548	37.2591
AGPAT3	NA	1097	6609	8.2602
AGPAT4	NA	579	7879	3.65702
AGPAT4-IT1	NA	7	1851	0.188196
AGPAT5	NA	1810	5519	16.3207
AGPAT6	NA	1693	6310	13.352
AGPAT9	NA	293	2922	4.99007
AGPS	NA	3214	7665	20.8667
AGR2	NA	2	983	0.10125
AGR3	NA	0	750	0
AGRN	NA	13113	7394	88.2556
AGRP	NA	0	764	0
AGT	NA	4	2581	0.0771244
AGTPBP1	NA	2015	4539	22.092
AGTR1	NA	0	2571	0
AGTR2	NA	0	2899	0
AGTRAP	NA	975	1280	37.9065
AGXT	NA	0	1598	0
AGXT2	NA	0	2406	0
AHCTF1	NA	1723	8631	9.93445
AHCTF1P1	NA	790	8836	4.44929
AHCY	NA	6157	2538	120.725
AHCYL1	NA	2602	4968	26.0643
AHCYL2	NA	668	5778	5.75332
AHDC1	NA	1680	6358	13.1495
AHI1	NA	291	5898	2.45532
AHNAK	NA	37104	19265	95.8454
AHNAK2	NA	4809	18317	13.0653
AHR	NA	0	6247	0
AHRR	NA	41	5660	0.360485
AHSA1	NA	1813	1400	64.445
AHSA2	NA	813	3031	13.3482
AHSG	NA	0	1573	0
AHSP	NA	0	506	0
AICDA	NA	0	2794	0
AIDA	NA	2408	3006	39.8646
AIF1	NA	139	9312	0.742833
AIF1L	NA	678	3537	9.53925
AIFM1	NA	1932	3253	29.5558
AIFM2	NA	49	3250	0.750295
AIFM3	NA	109	2528	2.1457
AIG1	NA	1122	4731	11.8021
AIM1	NA	3	7542	0.0197949
AIM1L	NA	157	5245	1.48961
AIM2	NA	0	1484	0
AIMP1	NA	872	3260	13.3112
AIMP2	NA	1241	1219	50.6626
