"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_MTORC1_SIGNALING",0.00154536607743213,0.00286178903228172,0.45505986738723,-0.345184375793475,-1.49254522813627,186,"PNP;FDXR;NAMPT;SORD;HMGCR;RRP9;POLR3G;HSPA9;TOMM40;UCHL5;IDH1;TFRC;ABCF2;EEF1E1;DDX39A;NUPR1;NUFIP1;PSMC4;NFKBIB;PSME3;MCM2;PNO1;TXNRD1;CDC25A;BHLHE40;RRM2;CACYBP;GLA;LDHA;GPI;CCT6A;UNG;STIP1;HPRT1;MCM4;DDIT4;PSMD14;TMEM97;HSPA4;TCEA1;GSR;ETF1;ALDOA;HSPD1;ATP2A2;TPI1;GMPS;SLC1A5;TBK1;EBP;HSPE1;TUBG1;ARPC5L;RPA1;IDI1;SLC7A5;PPIA"
"HALLMARK_MYC_TARGETS_V1",3.93192645864448e-31,1.96596322932224e-29,1.45334466856494,-0.68442778808315,-2.98346468869339,193,"MYC;PRPS2;DDX21;NOLC1;SRM;RRP9;PA2G4;NOP16;ABCE1;C1QBP;PCNA;PWP1;PABPC1;MAD2L1;NPM1;NME1;MCM7;SF3A1;SRSF1;GNL3;TCP1;MCM5;NHP2;EIF1AX;XPOT;PSMC4;TRIM28;CTPS1;SET;CNBP;EIF4H;PTGES3;MCM2;PABPC4;DDX18;EIF4A1;NOP56;EIF2S1;SYNCRIP;CDC20;USP1;PHB2;SNRPD1;EIF3J;CCT2;CCT7;NCBP2;SRPK1;SNRPA;VDAC1;TUFM;LDHA;EIF3D;EIF3B;TRA2B;ODC1;RSL1D1;POLE3;HPRT1;G3BP1;RUVBL2;EIF4E;MCM4;ORC2;CLNS1A;PRDX3;TFDP1;NDUFAB1;CDK4;RAN;RANBP1;BUB3;PSMD14;PSMB2;CYC1;CCNA2;GSPT1;ETF1;MRPS18B;UBA2;SSBP1;SMARCC1;RNPS1;SNRPB2;ILF2;CCT4;DHX15;HSPD1;SSB;CDC45;HNRNPU;PRPF31;RRM1;EEF1B2;HSPE1;FBL;EXOSC7;VDAC3;CAD;HSP90AB1;SRSF3;TXNL4A;PPIA;XPO1;STARD7;PSMA1;GLO1;HNRNPC;CCT5;PSMD3;EIF2S2;RFC4;CBX3;LSM7;DUT;PSMB3;U2AF1;SRSF2;MRPL9;SNRPD2;CCT3;PSMC6;KPNB1;PSMD7;DEK"
"HALLMARK_MYC_TARGETS_V2",5.06458526812803e-22,1.26614631703201e-20,1.21254456769062,-0.846766622629511,-3.06161356071349,57,"MYC;SORD;NOLC1;SRM;MYBBP1A;RRP9;NIP7;IMP4;RRP12;PA2G4;NOP16;DCTPP1;TCOF1;NOP2;IPO4;PPAN;PES1;NPM1;RABEPK;GNL3;NDUFAF4;RCL1;MCM5;EXOSC5;WDR43;FARSA;PRMT3;UTP20;TFB2M;GRWD1;NOC4L;PPRC1;BYSL;DDX18;TBRG4;LAS1L;MRTO4;SLC19A1;NOP56;WDR74;UNG;MCM4;CDK4;TMEM97"
"HALLMARK_MYOGENESIS",8.31676144737126e-16,8.31676144737126e-15,1.02766987054358,0.636174585229299,2.35842324292601,167,"SPARC;FHL1;PPP1R3C;TPD52L1;SPHK1;TNNC1;HSPB8;GPX3;COL3A1;TNNI1;AGRN;SVIL;MYH9;CASQ1;COL1A1;CLU;TNNT2;SPTAN1;SGCA;ITGB5;MYL7;PLXNB2;COL6A2;EPHB3;HDAC5;APP;GJA5;CDH13;TAGLN;FLII;MYLK;MYL4;SLN;KIFC3;KLF5;ITGA7;REEP1;KCNH2;GSN;FKBP1B;MAPRE3;ATP6AP1;SCHIP1;MYOZ1;DES;SPEG;PSEN2;DMPK;FOXO4;PDLIM7;MRAS;ANKRD2;TPM2;CAMK2B;COL4A2;IGFBP7;CDKN1A;MEF2A;DAPK2;PTGIS;ABLIM1;SORBS1;HBEGF;NOTCH1;SYNGR2;ACSL1;MYO1C;PC;MYBPH;MB;SSPN;LDB3;PRNP;TNNC2;MAPK12;MYL3;BDKRB2;ACTN2;RIT1;CNN3;NAV2;ACTC1;HSPB2;ENO3"
"HALLMARK_NOTCH_SIGNALING",0.00489309522610195,0.0076454612907843,0.407017918923954,0.601120717260336,1.71761674294448,30,"ARRB1;HES1;DTX4;NOTCH2;FZD7;TCF7L2;FZD5;PSEN2;SAP30;PRKCA;CCND1;PPARD;NOTCH1"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.00189716137249314,0.00338778816516633,0.45505986738723,-0.342526006017908,-1.48047856826922,181,"MRPS12;HSPA9;GRPEL1;LRPPRC;CYCS;SLC25A5;MRPS30;IDH1;TIMM50;ATP6V1E1;SDHD;MTRR;ATP6V1G1;PHB2;TIMM10;MFN2;MDH2;VDAC1;LDHA;DLAT;GPI;GLUD1;SDHB;TOMM22;PRDX3;NDUFAB1;ATP6V1C1;ECH1;CYC1;COX11;UQCRFS1;MRPL15;NDUFS3;NDUFA8;UQCRH;ACO2;PMPCA;SLC25A11;LDHB;OPA1;TIMM13;VDAC3;POLR2F;IDH3B;IDH3A;COX7A2;COX5B;AFG3L2;PDHA1;BCKDHA;PDHX;TIMM17A;MRPL11;MRPL34;NDUFS2;SDHA;FXN;NDUFS1;NDUFB8;UQCRC2;HSD17B10;MRPL35;VDAC2;MRPS22;SUPV3L1;ISCU;NDUFA5;ALAS1;TIMM8B;COX5A;TIMM9;MRPS15;NDUFC1;COX15;CPT1A;NDUFC2"
"HALLMARK_P53_PATHWAY",0.0132963403659674,0.0195534417146579,0.380730400722792,0.368838717050875,1.38180297976439,182,"JUN;TPD52L1;SPHK1;ABAT;TNNI1;CDKN2B;KRT17;CDKN2A;S100A4;STOM;PLK2;KIF13B;PERP;PLXNB2;VDR;VAMP8;DGKA;APP;BLCAP;CTSD;FOXO3;CDH13;MXD4;GM2A;NINJ1;SDC1;CCND2;S100A10;TSC22D1;EPHX1;RAP2B;PRMT2;CDKN1A;DRAM1;RPS27L;IL1A;HBEGF;NOTCH1;RHBDF2;ABHD4;BAX;ZMAT3;ERCC5;PDGFA;CD81;UPP1;SLC3A2"
"HALLMARK_PANCREAS_BETA_CELLS",0.152027027027027,0.176775612822124,0.14551614609036,0.516479785948404,1.3069816519699,18,"PAX6;VDR;FOXO1;AKT3;SRP14;SEC11A;ABCC8"
"HALLMARK_PEROXISOME",0.663934426229508,0.691598360655738,0.0469758727821845,0.261493159830323,0.893007979888505,90,"DHRS3;HSD17B11;ACSL5;CEL;SLC25A4;MVP;IDH2;YWHAH;PRDX5;DHCR24;CLN8;SLC27A2;SEMA3C;ECI2;CADM1;ACSL1;SLC35B2;CRABP2;STS;ABCD3;ACAA1;ABCC8;CDK7;ACOT8;ACSL4"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.895104895104895,0.895104895104895,0.0778840111977068,-0.205862558944212,-0.806763042215419,87,"PPP2R1B;CAB39L;CDK1;MAP2K6;NFKBIB;PIKFYVE;EIF4E;ECSIT;CDK4;SFN;ATF1;AKT1S1;RPTOR;TBK1;E2F1;GRB2;PRKAR2A;CSNK2B;RPS6KA1"
