"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SCAND1",1522.23302241639,-0.368213878976972,0.133288627175613,-2.76253035821154,0.00573552276963086,0.0180655324230124
"HOTAIR",170.980591384176,0.707264562026204,0.256063740939501,2.76206447438142,0.00574371348721169,0.0180878892009756
"GEMIN6",454.230257014265,-0.578068824434542,0.209321005448931,-2.76163791204211,0.00575122214113635,0.0181080899524613
"LHX2",433.502658539796,-0.512778312491482,0.185791991366086,-2.75995918188475,0.00578085838432422,0.0181979398967924
"RFC5",593.971063049822,-0.474808933765515,0.172042079860185,-2.75984186049938,0.00578293471089423,0.0182010145150639
"TAF6L",382.284338597882,-0.534748674299133,0.193771671953217,-2.75968447249729,0.00578572118321338,0.018206322628241
"SPN",21.2461590478923,2.14027793897694,0.775690761626644,2.75918967307116,0.00579448923569895,0.0182304477911593
"RMDN1",975.134821074428,-0.407603349599019,0.147743308456592,-2.75886166254883,0.00580030832078287,0.0182452875951346
"BCL7A",317.778724755611,-0.559499604159895,0.202843668273124,-2.75827985622181,0.00581064284384499,0.018267380883442
"TM6SF2",30.7339865606018,1.58710257663687,0.575386498215658,2.75832432905302,0.00580985229521095,0.018267380883442
"TMEM184A",240.59958620496,0.659612731172048,0.239135481675966,2.75832229725674,0.00580988841028869,0.018267380883442
"PCDHA12",1265.26249462558,-0.434524575129226,0.157571022672102,-2.75764266652918,0.00582198017589144,0.0182995472600371
"ASB8",257.387187125842,0.606276763903757,0.219868653240446,2.75744975451657,0.00582541653426317,0.0183068719337619
"PRR19",220.878276222054,-0.650915783988915,0.236124439966363,-2.75666417284734,0.00583942906090805,0.0183474240349563
"QRICH2",207.851152959854,0.719594462965273,0.261051764163163,2.75652020691004,0.00584200029282068,0.0183520191396409
"BLOC1S1",407.283046949332,0.526217958684691,0.190940681602411,2.75592374693841,0.00585266394627959,0.0183820291534763
"CACNA2D2",223.773869689755,0.655933404270089,0.238024312447486,2.75574119939872,0.00585593107972078,0.0183853132078032
"COLGALT1",3117.9413800302,0.330182096579538,0.119814757266194,2.75577152692441,0.00585538818082941,0.0183853132078032
"BRD4",2270.7131083286,-0.345429967898604,0.125366312754758,-2.75536514003037,0.0058626667617836,0.0184029698920998
"LOC728392",1231.56351982575,0.39425040870593,0.143088715652973,2.75528651513016,0.00586407591206697,0.0184039030141321
