"GeneSymbol","G401_Empty_Day3_A","G401_Empty_Day3_B","G401_BAF47_Day3_A","G401_BAF47_Day3_B"
"ADRA1D",2,2,13,6
"ADRA2A",1,5,2,6
"ADRA2B",6,5,7,8
"ADRA2C",376,348,203,273
"ADRB1",26,29,35,24
"ADRB2",0,0,0,0
"ADRB3",0,0,1,0
"ADRBK1",1139,1158,729,709
"ADRBK2",527,480,662,499
"ADRM1",4870,4324,3314,3681
"ADSL",2788,2324,1458,1546
"ADSS",1258,1114,1047,1132
"ADSSL1",60,60,100,101
"ADTRP",998,847,1003,731
"AEBP1",14,21,12,16
"AEBP2",969,908,716,531
"AEN",4688,4473,3869,3769
"AES",7942,7070,6929,6690
"AFAP1",232,231,610,467
"AFAP1-AS1",22,12,51,42
"AFAP1L1",8,11,16,10
"AFAP1L2",1,0,9,2
"AFF1",179,190,486,392
"AFF2",3,4,3,1
"AFF3",10,11,30,23
"AFF4",3001,3070,2566,2148
"AFG3L1P",512,600,420,502
"AFG3L2",5679,5322,3558,4185
"AFM",0,0,0,0
"AFMID",350,345,215,268
"AFP",0,0,0,0
"AFTPH",435,458,443,304
"AGA",218,171,242,213
"AGAP1",824,776,896,858
"AGAP1-IT1",15,17,10,12
"AGAP11",158,213,156,148
"AGAP2",463,474,256,291
"AGAP2-AS1",114,121,72,65
"AGAP3",1698,1731,1729,1749
"AGAP4",503,755,729,735
"AGAP5",349,452,430,492
"AGAP6",520,745,750,757
"AGAP7P",442,674,659,644
"AGAP9",316,437,439,469
"AGBL1",0,0,1,1
"AGBL1-AS1",0,0,0,0
"AGBL2",10,17,6,7
"AGBL3",14,11,11,15
"AGBL4",0,0,0,0
"AGBL4-IT1",0,0,0,0
"AGBL5",2971,2581,3099,3074
"AGBL5-AS1",2,1,4,2
"AGER",156,169,279,306
"AGFG1",1961,1874,1646,1328
"AGFG2",1461,1280,776,698
"AGGF1",552,582,459,350
"AGK",899,929,581,593
"AGL",557,623,487,337
"AGMAT",23,25,19,26
"AGMO",0,0,0,0
"AGO1",791,861,669,696
"AGO2",590,561,427,191
"AGO3",312,268,198,178
"AGO4",340,352,549,543
"AGPAT1",3588,3038,2713,2662
"AGPAT2",1358,1134,1159,1212
"AGPAT3",631,601,1097,1230
"AGPAT4",309,341,579,757
"AGPAT4-IT1",2,1,7,2
"AGPAT5",3103,2847,1810,1365
"AGPAT6",1710,1772,1693,1932
"AGPAT9",67,50,293,331
"AGPS",2521,2445,3214,3008
"AGR2",0,0,2,2
"AGR3",0,0,0,0
"AGRN",5040,5108,13113,11783
"AGRP",0,0,0,0
"AGT",0,0,4,2
"AGTPBP1",2532,2464,2015,1823
"AGTR1",0,0,0,0
"AGTR2",0,0,0,0
"AGTRAP",1003,866,975,1008
"AGXT",3,5,0,0
"AGXT2",0,0,0,1
"AHCTF1",3460,3654,1723,2001
"AHCTF1P1",1727,1729,790,849
"AHCY",11527,10251,6157,6916
"AHCYL1",2787,2647,2602,2866
"AHCYL2",2069,2011,668,823
"AHDC1",1842,1907,1680,1574
"AHI1",757,865,291,286
"AHNAK",23720,22989,37104,43362
"AHNAK2",4848,4843,4809,4752
"AHR",2,3,0,1
"AHRR",58,59,41,54
"AHSA1",3500,3283,1813,2248
"AHSA2",800,1160,813,749
"AHSG",1,1,0,0
"AHSP",1,1,0,0
"AICDA",0,0,0,0
"AIDA",2623,2484,2408,2330
"AIF1",227,148,139,156
"AIF1L",497,415,678,940
"AIFM1",2399,2254,1932,2284
"AIFM2",62,52,49,80
"AIFM3",64,63,109,133
"AIG1",307,250,1122,1322
"AIM1",3,1,3,6
"AIM1L",87,57,157,139
"AIM2",0,0,0,0
"AIMP1",1631,1473,872,891
"AIMP2",1958,1805,1241,1611
"AIP",694,632,449,588
"AIPL1",0,0,0,0
"AIRE",7,12,0,5
"AIRN",0,0,1,1
"AJAP1",1,0,1,2
"AJUBA",353,235,725,413
"AK1",1155,1183,1172,1130
"AK2",5856,5414,3373,3948
"AK3",2388,2350,2176,2182
"AK4",1871,1748,2445,2335
"AK5",0,1,1,4
"AK6",1694,1614,1021,1194
"AK7",19,8,15,10
"AK8",52,46,35,35
"AK9",21,15,40,53
"AKAP1",675,698,379,328
"AKAP10",634,676,476,468
"AKAP11",849,883,768,360
"AKAP12",3747,3699,9608,8162
"AKAP13",1014,1030,1753,1688
"AKAP14",4,1,3,3
"AKAP17A",2034,2228,1539,1437
"AKAP2",2,5,46,41
"AKAP3",27,44,30,27
"AKAP4",0,0,5,0
"AKAP5",26,42,157,175
"AKAP6",10,16,32,25
"AKAP7",42,42,41,62
"AKAP8",1756,1746,1171,1297
"AKAP8L",3546,3203,2634,3244
"AKAP9",779,864,694,774
"AKIP1",1087,940,633,585
"AKIRIN1",3725,3346,3026,3091
"AKIRIN2",1530,1358,1356,1501
"AKNA",430,262,468,270
"AKNAD1",0,0,0,0
"AKR1A1",1259,1111,936,1086
"AKR1B1",3501,2909,3101,2969
"AKR1B10",2,3,1,1
"AKR1B15",0,1,1,0
"AKR1C1",6,9,18,8
"AKR1C2",9,11,20,7
"AKR1C3",2,2,43,9
"AKR1C4",1,0,2,0
"AKR1C6P",0,1,1,0
"AKR1C8P",0,0,4,3
"AKR1D1",11,16,22,20
"AKR1E2",55,51,31,49
"AKR7A2",1468,1261,1319,1385
"AKR7A2P1",25,18,22,16
"AKR7A3",120,88,81,131
"AKR7L",186,158,122,207
"AKT1",3777,3628,3768,3992
"AKT1S1",5114,4482,3011,3260
"AKT2",3381,3205,2851,2781
"AKT3",925,875,1185,1132
"AKTIP",408,385,603,424
"ALAD",366,376,460,502
"ALAS1",1557,1475,1141,1109
"ALAS2",0,0,0,2
"ALB",10,1,4,1
"ALCAM",4,2,118,96
"ALDH16A1",949,953,583,692
"ALDH18A1",3569,3242,2934,3202
"ALDH1A1",1,0,1,0
"ALDH1A2",0,0,0,1
"ALDH1A3",4,5,0,0
"ALDH1B1",2799,2559,3161,3501
"ALDH1L1",0,1,11,4
"ALDH1L1-AS1",0,1,1,0
"ALDH1L1-AS2",0,0,0,0
"ALDH1L2",40,24,33,12
"ALDH2",1058,839,1704,1662
"ALDH3A1",0,1,0,0
"ALDH3A2",1014,1063,1025,1106
"ALDH3B1",15,19,50,22
"ALDH3B2",1,0,3,1
"ALDH4A1",764,739,1758,2114
"ALDH5A1",441,422,563,551
"ALDH6A1",480,331,496,485
"ALDH7A1",7889,7386,2520,3139
"ALDH8A1",2,11,5,6
"ALDH9A1",2005,1901,1959,2068
"ALDOA",19704,17246,12855,11774
"ALDOB",0,4,1,1
"ALDOC",1249,1127,451,536
"ALG1",1288,1159,750,897
"ALG10",112,101,86,43
"ALG10B",228,226,160,87
"ALG11",388,393,274,313
"ALG12",837,848,637,637
"ALG13",509,455,363,243
"ALG14",177,182,201,238
"ALG1L",56,41,41,54
"ALG1L2",122,93,68,71
"ALG1L9P",30,32,15,22
"ALG2",1195,1072,1106,1097
"ALG3",2126,2138,990,997
"ALG5",975,791,615,768
"ALG6",294,271,170,135
"ALG8",1988,1884,1148,1328
"ALG9",1877,1636,704,698
"ALK",5,5,0,1
"ALKBH1",811,766,482,616
"ALKBH2",1156,1112,376,561
"ALKBH3",404,390,246,289
"ALKBH3-AS1",2,2,6,3
"ALKBH4",713,638,463,503
"ALKBH5",3675,3544,2791,2770
"ALKBH6",632,668,569,550
"ALKBH7",688,580,561,639
"ALKBH8",495,488,264,323
"ALLC",7,7,14,2
"ALMS1",730,790,566,713
"ALMS1-IT1",40,50,17,28
"ALMS1P",3,4,1,4
"ALOX12",46,47,40,33
"ALOX12-AS1",28,27,23,15
"ALOX12B",30,33,37,40
"ALOX12P2",1,3,10,6
"ALOX15",5,10,9,3
"ALOX15B",7,2,2,0
"ALOX15P1",0,0,1,0
"ALOX5",1,0,20,15
"ALOX5AP",0,0,23,10
"ALOXE3",271,252,117,87
"ALPI",0,1,0,0
"ALPK1",2,2,3,7
"ALPK2",2,3,103,58
"ALPK3",4,9,116,192
"ALPL",72,51,47,78
"ALPP",654,568,173,196
"ALPPL2",2575,2301,563,615
"ALS2",3077,3021,2340,2439
"ALS2CL",59,57,112,89
"ALS2CR11",5,11,8,5
"ALS2CR12",12,15,25,29
"ALX1",0,1,2,0
"ALX3",52,58,44,48
"ALX4",1303,1265,867,882
"ALYREF",13568,12465,2820,3026
"AMACR",535,450,454,503
"AMBN",2,2,0,0
"AMBP",0,0,2,0
"AMBRA1",1518,1467,1288,1580
"AMD1",4583,4211,3722,2658
"AMDHD1",13,9,88,85
"AMDHD2",963,902,603,636
"AMELX",0,0,0,0
"AMELY",0,0,0,0
"AMER1",563,523,204,236
"AMER2",0,0,0,0
"AMER3",0,0,0,0
"AMFR",1388,1061,1457,1445
"AMH",248,342,240,284
"AMHR2",9,3,54,71
"AMICA1",0,0,0,1
"AMIGO1",2,2,6,3
"AMIGO2",4755,4707,2180,1558
"AMIGO3",130,132,135,150
"AMMECR1",397,339,438,360
"AMMECR1L",1151,1076,844,858
"AMN",4,7,8,6
"AMN1",188,163,201,156
"AMOT",1,0,29,23
"AMOTL1",93,72,1148,1063
"AMOTL2",8456,7764,5754,6099
"AMPD1",2,5,0,1
"AMPD2",2996,3073,1836,2030
"AMPD3",9,6,67,31
"AMPH",0,0,2,4
"AMT",51,54,114,99
"AMTN",0,0,0,0
"AMY1A",14,54,6,28
"AMY1B",14,54,6,28
"AMY1C",14,54,6,28
"AMY2A",13,24,10,12
"AMY2B",95,141,60,75
"AMZ1",1,2,1,0
"AMZ2",1864,1564,927,1131
"AMZ2P1",323,274,203,307
"ANAPC1",3670,3546,2229,2426
"ANAPC10",585,528,291,373
"ANAPC11",1274,1187,776,720
"ANAPC13",2909,2477,1959,2037
"ANAPC15",842,745,981,1324
"ANAPC16",1667,1552,2182,2138
"ANAPC1P1",38,46,22,17
"ANAPC2",1245,1290,960,1027
"ANAPC4",423,489,330,458
"ANAPC5",4222,3959,2655,2839
"ANAPC7",2157,2184,1733,1944
"ANG",52,46,76,81
"ANGEL1",903,861,753,824
"ANGEL2",650,684,436,484
"ANGPT1",103,111,109,87
"ANGPT2",4600,4373,2459,1658
"ANGPT4",0,0,1,2
"ANGPTL1",4,0,2,6
"ANGPTL2",445,421,401,448
"ANGPTL3",6,4,0,3
"ANGPTL4",36,33,60,65
"ANGPTL5",0,0,2,1
"ANGPTL6",128,136,151,164
"ANGPTL7",0,0,10,13
"ANHX",0,0,0,0
"ANK1",452,498,977,799
"ANK2",112,102,196,187
"ANK3",101,96,216,186
"ANKAR",18,16,35,13
"ANKDD1A",55,62,36,44
"ANKDD1B",2,8,7,6
"ANKEF1",85,69,88,72
"ANKFN1",0,0,0,0
"ANKFY1",1399,1478,1479,1556
"ANKH",21,16,15,19
"ANKHD1",2422,2441,1568,1707
"ANKHD1-EIF4EBP3",2522,2528,1678,1858
"ANKIB1",820,857,941,747
"ANKK1",13,13,7,1
"ANKLE1",64,98,46,51
"ANKLE2",1957,2119,1680,1784
"ANKMY1",231,296,149,132
"ANKMY2",134,101,906,1074
"ANKRA2",319,260,270,230
"ANKRD1",55,52,345,361
"ANKRD10",6260,7608,5685,6810
"ANKRD11",4197,4037,3661,3379
"ANKRD12",440,553,377,374
"ANKRD13A",450,472,735,702
"ANKRD13B",958,976,446,430
"ANKRD13C",643,653,614,584
"ANKRD13D",477,453,417,401
"ANKRD16",325,319,147,208
"ANKRD17",2833,3010,2044,1984
"ANKRD18A",184,196,337,350
"ANKRD18B",71,67,105,122
"ANKRD18DP",12,9,1,6
"ANKRD19P",355,347,296,364
"ANKRD2",6,6,41,39
"ANKRD20A1",80,50,60,55
"ANKRD20A11P",0,2,0,0
"ANKRD20A12P",889,998,1135,955
"ANKRD20A19P",2,0,0,0
"ANKRD20A2",74,52,57,54
"ANKRD20A3",160,114,127,117
